other-lang,english,lang-family,code
ሀ,heh,h,0
ሁ,hoo,h,1
ሂ,hee,h,2
ሃ,hah,h,3
ሄ,hay,h,4
ህ,hih,h,5
ሆ,hoh,h,6
ለ,leh,l,7
ሉ,loo,l,8
ሊ,lee,l,9
ላ,lah,l,10
ሌ,lay,l,11
ል,lih,l,12
ሎ,loh,l,13
